Date,TheChuaBatEcom,GiaoDichThanhCong,SaiSoDienThoai,SaiTenChuThe,SaiSoCMND,SaiNgayPhatHanhThe,KhongNhanDuocXacThucOTP,TheDangOTrangThaiKhongGiaoDichDuoc,SaiOTP,TheDaLienKet
1-thg 4,511,317,71,62,15,14,24,8,3,  -   
2-thg 4,375,220,57,52,12,10,9,4,3,  -   
3-thg 4,463,266,92,66,22,13,17,3,3,  -   
4-thg 4,418,256,69,40,15,18,9,1,1,3
5-thg 4,473,295,62,61,21,35,11,3,6,4
6-thg 4,520,215,99,69,34,24,124,5,22,  -   
7-thg 4,561,314,120,60,40,27,33,13,7,  -   
8-thg 4,433,219,73,48,31,15,15,2,2,  -   
9-thg 4,400,196,72,54,26,8,11,1,4,  -   
10-thg 4,783,311,122,129,27,32,18,7,2,  -   
11-thg 4,545,324,96,59,35,31,10,7,2,1
12-thg 4,758,343,127,86,38,21,21,7,1,1
13-thg 4,605,342,102,72,38,25,14,4,2,2
14-thg 4,904,493,140,149,65,41,45,7,7,  -   
15-thg 4,642,313,99,80,22,11,18,7,3,  -   
16-thg 4,413,235,63,56,25,16,21,2,3,2
17-thg 4,480,306,101,70,22,15,24,4,6,  -   
18-thg 4,546,315,114,65,36,24,30,5,3,  -   
19-thg 4,626,369,99,79,25,25,28,4,4,3
20-thg 4,542,318,97,74,28,26,33,5,6,5
21-thg 4,482,271,79,45,27,18,38,5,8,  -   
22-thg 4,414,246,72,56,22,15,9,6,  -   ,  -   
23-thg 4,427,228,84,45,29,22,7,2,6,  -   
24-thg 4,416,247,89,57,6,15,17,  -   ,1,  -   
25-thg 4,412,252,77,56,49,12,17,3,8,  -   
26-thg 4,432,240,74,70,22,20,17,5,5,1
27-thg 4,439,254,77,64,42,14,15,11,4,  -   
28-thg 4,475,273,92,61,34,27,12,13,5,3
29-thg 4,358,246,83,47,33,23,26,2,2,  -   
30-thg 4,324,177,76,34,18,16,4,3,5,1
1-thg 5,379,222,65,32,22,12,28,4,7,  -   
2-thg 5,422,268,84,32,17,23,18,7,6,  -   
3-thg 5,400,238,77,29,7,18,25,10,2,  -   
4-thg 5,428,240,75,34,24,12,8,12,1,3
5-thg 5,442,253,68,30,27,27,18,9,3,14
6-thg 5,416,206,71,23,20,19,11,4,2,  -   
7-thg 5,353,210,77,27,27,12,11,7,2,3
8-thg 5,675,380,91,36,18,24,15,17,3,1
9-thg 5,642,411,128,46,45,58,29,24,8,  -   
10-thg 5,588,378,78,38,28,18,20,15,8,  -   
11-thg 5,448,336,101,39,36,41,21,9,4,1
12-thg 5,498,361,173,26,57,9,20,15,3,5
13-thg 5,418,312,136,25,29,25,21,7,4,  -   
14-thg 5,424,282,136,43,29,20,26,4,5,  -   
15-thg 5,453,333,106,16,57,65,36,7,8,  -   
16-thg 5,525,380,144,28,31,49,31,10,1,  -   
17-thg 5,508,401,126,17,43,95,21,8,4,  -   
18-thg 5,417,331,88,22,45,43,18,1,4,1
19-thg 5,436,353,96,28,45,50,16,4,  -   ,  -   
20-thg 5,341,261,100,249,31,44,25,4,  -   ,  -   
21-thg 5,360,251,123,22,44,26,21,5,5,  -   
22-thg 5,373,295,111,26,21,40,9,7,  -   ,4
23-thg 5,359,285,93,35,31,55,12,5,3,  -   
24-thg 5,407,301,101,33,38,17,20,2,2,2
25-thg 5,417,315,120,19,30,60,21,5,3,1
26-thg 5,434,308,133,29,36,61,28,5,9,  -   
27-thg 5,432,292,116,36,41,62,10,2,5,  -   
28-thg 5,379,274,81,37,28,55,18,3,3,  -   
29-thg 5,380,331,87,33,27,32,11,8,4,  -   
30-thg 5,715,514,211,49,55,91,30,12,7,8
