Date,KhongNhanDuocPhanHoiTuNganHang,GiaoDichThanhCong,LienKetThatBai,TheDaLienKet,GiaoDichDangXuLy,ThongTinXacThucKhongHopLe
1-thg 4,972,450,174,26,7,  -   
2-thg 4,683,296,119,18,3,  -   
3-thg 4,721,408,128,28,  -   ,  -   
4-thg 4,850,364,147,43,5,  -   
5-thg 4,821,386,136,30,7,  -   
6-thg 4,780,200,84,14,1,  -   
7-thg 4,897,396,146,41,3,  -   
8-thg 4,685,312,110,20,1,1
9-thg 4,707,261,94,23,4,  -   
10-thg 4,1357,563,200,58,4,18
11-thg 4,1076,463,128,40,3,1
12-thg 4,1174,482,174,60,4,2
13-thg 4,1031,541,172,53,2,2
14-thg 4,1185,599,207,72,2,1
15-thg 4,768,403,112,42,4,1
16-thg 4,907,330,122,32,1,  -   
17-thg 4,751,403,173,55,3,1
18-thg 4,788,431,129,48,2,4
19-thg 4,1053,514,178,60,3,2
20-thg 4,812,384,148,36,3,  -   
21-thg 4,753,431,125,34,4,1
22-thg 4,650,291,116,27,3,1
23-thg 4,731,276,101,40,1,1
24-thg 4,724,314,113,32,1,  -   
25-thg 4,635,300,122,20,2,2
26-thg 4,729,321,126,27,3,1
27-thg 4,923,310,144,36,2,2
28-thg 4,769,334,180,28,1,  -   
29-thg 4,601,251,133,12,2,2
30-thg 4,608,215,81,16,  -   ,  -   
1-thg 5,608,214,128,20,1,  -   
2-thg 5,524,251,122,13,5,1
3-thg 5,698,325,181,21,1,3
4-thg 5,640,255,138,24,1,  -   
5-thg 5,650,303,149,21,3,2
6-thg 5,481,212,109,32,3,4
7-thg 5,608,238,112,32,4,  -   
8-thg 5,863,423,199,37,5,1
9-thg 5,825,370,194,23,1,  -   
10-thg 5,942,384,151,28,5,2
11-thg 5,753,322,130,32,4,8
12-thg 5,809,310,156,32,4,  -   
13-thg 5,703,291,140,19,3,1
14-thg 5,666,245,123,45,1,1
15-thg 5,828,303,122,62,6,1
16-thg 5,834,402,164,53,2,  -   
17-thg 5,1073,319,153,24,1,2
18-thg 5,777,362,163,30,1,  -   
19-thg 5,763,355,156,44,1,2
20-thg 5,662,262,162,28,6,  -   
21-thg 5,650,220,132,24,  -   ,4
22-thg 5,622,289,140,28,2,1
23-thg 5,717,267,139,25,2,1
24-thg 5,746,335,142,19,2,1
25-thg 5,698,335,153,31,2,  -   
26-thg 5,717,331,165,22,3,1
27-thg 5,704,319,131,14,3,1
28-thg 5,727,259,127,19,5,1
29-thg 5,739,387,169,29,4,  -   
30-thg 5,1254,380,232,36,4,  -   
