Date,KhongNhanDuocPhanHoiTuNganHang,GiaoDichThanhCong,KhachHangHuyGiaoDich,ThongTinDangNhapKhongDung,HeThongNganHangDangCoLoi,TheDaLienKet,HeThongNganHangDangCoLoi2,OTPHetHan
1-thg 4,594,135,3,18,  -   ,  -   ,  -   ,  -   
2-thg 4,496,113,2,23,  -   ,  -   ,  -   ,  -   
3-thg 4,532,123,2,16,  -   ,  -   ,  -   ,  -   
4-thg 4,513,107,3,19,  -   ,2,  -   ,  -   
5-thg 4,497,109,  -   ,18,1,  -   ,  -   ,  -   
6-thg 4,544,111,3,15,1,1,  -   ,13
7-thg 4,467,87,3,13,64,1,  -   ,  -   
8-thg 4,482,77,  -   ,12,2,  -   ,  -   ,  -   
9-thg 4,367,74,1,15,  -   ,  -   ,  -   ,  -   
10-thg 4,485,109,4,22,1,1,  -   ,  -   
11-thg 4,499,111,1,21,  -   ,6,  -   ,  -   
12-thg 4,541,117,135,20,3,  -   ,1,  -   
13-thg 4,794,232,265,42,  -   ,6,  -   ,3
14-thg 4,1072,280,346,46,  -   ,2,  -   ,  -   
15-thg 4,659,184,216,64,2,2,  -   ,1
16-thg 4,649,152,186,43,  -   ,  -   ,  -   ,  -   
17-thg 4,715,140,212,40,  -   ,3,  -   ,  -   
18-thg 4,586,163,231,22,  -   ,  -   ,  -   ,  -   
19-thg 4,633,149,209,33,2,2,  -   ,  -   
20-thg 4,551,151,198,33,  -   ,1,  -   ,  -   
21-thg 4,578,136,184,15,  -   ,2,  -   ,  -   
22-thg 4,435,106,142,24,2,2,1,  -   
23-thg 4,1052,4,13,  -   ,  -   ,  -   ,  -   ,  -   
24-thg 4,691,105,165,25,  -   ,1,  -   ,  -   
25-thg 4,794,139,233,38,  -   ,3,  -   ,  -   
26-thg 4,430,82,137,13,1,1,  -   ,  -   
27-thg 4,321,79,92,20,  -   ,1,1,  -   
28-thg 4,340,89,124,20,  -   ,9,  -   ,  -   
29-thg 4,264,84,91,12,4,1,  -   ,1
30-thg 4,203,59,72,8,  -   ,1,2,  -   
1-thg 5,255,74,104,8,  -   ,  -   ,  -   ,  -   
2-thg 5,291,57,74,8,  -   ,1,  -   ,  -   
3-thg 5,234,73,99,7,  -   ,2,1,  -   
4-thg 5,270,54,88,20,  -   ,1,  -   ,  -   
5-thg 5,240,57,80,7,  -   ,1,25,  -   
6-thg 5,226,52,90,13,  -   ,6,  -   ,2
7-thg 5,248,49,67,4,3,5,  -   ,1
8-thg 5,621,252,198,40,  -   ,6,  -   ,  -   
9-thg 5,899,706,321,79,  -   ,11,  -   ,1
10-thg 5,559,209,230,28,38,4,1,1
11-thg 5,467,168,177,41,1,2,6,1
12-thg 5,824,617,268,70,  -   ,5,1,  -   
13-thg 5,451,178,159,16,1,5,  -   ,  -   
14-thg 5,439,113,197,33,  -   ,  -   ,  -   ,7
15-thg 5,452,159,128,29,  -   ,6,  -   ,  -   
16-thg 5,511,130,183,18,  -   ,4,  -   ,2
17-thg 5,523,153,197,22,  -   ,9,  -   ,  -   
18-thg 5,489,144,188,29,  -   ,4,  -   ,  -   
19-thg 5,442,125,169,12,  -   ,4,  -   ,1
20-thg 5,371,97,146,15,  -   ,3,  -   ,  -   
21-thg 5,355,70,137,13,1,4,  -   ,  -   
22-thg 5,721,468,261,61,  -   ,11,37,1
23-thg 5,414,169,136,42,31,6,1,  -   
24-thg 5,417,140,184,21,  -   ,5,  -   ,  -   
25-thg 5,469,141,196,27,  -   ,5,  -   ,  -   
26-thg 5,367,94,157,19,1,3,  -   ,  -   
27-thg 5,306,74,96,10,  -   ,1,  -   ,  -   
28-thg 5,413,102,130,20,23,2,  -   ,1
29-thg 5,399,94,159,25,8,7,  -   ,  -   
30-thg 5,533,133,174,20,1,11,  -   ,  -   
